,Symptoms,Conditions
0,"['cough', 'bloating']","[('Bacterial Pneumonia', 'Fair match'), ('Coronavirus', 'Fair match'), ('Asthma (teen And Adult)', 'Fair match'), ('Influenza (flu) Adults', 'Fair match'), ('Common Cold', 'Fair match')]"
1,"['cough', 'abdominal bloating']","[('Bacterial Pneumonia', 'Fair match'), ('Coronavirus', 'Fair match'), ('Asthma (teen And Adult)', 'Fair match'), ('Influenza (flu) Adults', 'Fair match'), ('Bronchitis', 'Fair match')]"
2,"['cough', 'lower belly bloating']","[('Bacterial Pneumonia', 'Fair match'), ('Coronavirus', 'Fair match'), ('Asthma (teen And Adult)', 'Fair match'), ('Influenza (flu) Adults', 'Fair match'), ('Bronchitis', 'Fair match')]"
3,"['cough', 'lower abdominal bloating']","[('Bacterial Pneumonia', 'Fair match'), ('Coronavirus', 'Fair match'), ('Asthma (teen And Adult)', 'Fair match'), ('Influenza (flu) Adults', 'Fair match'), ('Common Cold', 'Fair match')]"
4,"['cough', 'upper belly bloating']","[('Bacterial Pneumonia', 'Fair match'), ('Coronavirus', 'Fair match'), ('Asthma (teen And Adult)', 'Fair match'), ('Influenza (flu) Adults', 'Fair match'), ('Bronchitis', 'Fair match')]"
5,"['dry cough', 'bloating']","[('Coronavirus', 'Fair match'), ('Asthma (teen And Adult)', 'Fair match'), ('Emphysema', 'Fair match'), ('Mycoplasma Pneumonia', 'Fair match'), ('Bronchitis', 'Fair match')]"
6,"['dry cough', 'abdominal bloating']","[('Coronavirus', 'Fair match'), ('Asthma (teen And Adult)', 'Fair match'), ('Emphysema', 'Fair match'), ('Mycoplasma Pneumonia', 'Fair match'), ('Bronchitis', 'Fair match')]"
7,"['dry cough', 'lower belly bloating']","[('Coronavirus', 'Fair match'), ('Asthma (teen And Adult)', 'Fair match'), ('Emphysema', 'Fair match'), ('Mycoplasma Pneumonia', 'Fair match'), ('Bronchitis', 'Fair match')]"
8,"['dry cough', 'lower abdominal bloating']","[('Coronavirus', 'Fair match'), ('Asthma (teen And Adult)', 'Fair match'), ('Emphysema', 'Fair match'), ('Mycoplasma Pneumonia', 'Fair match'), ('Bronchitis', 'Fair match')]"
9,"['dry cough', 'upper belly bloating']","[('Coronavirus', 'Fair match'), ('Asthma (teen And Adult)', 'Fair match'), ('Emphysema', 'Fair match'), ('Mycoplasma Pneumonia', 'Fair match'), ('Bronchitis', 'Fair match')]"
10,"['cough, nonproductive', 'bloating']","[('Coronavirus', 'Fair match'), ('Asthma (teen And Adult)', 'Fair match'), ('Emphysema', 'Fair match'), ('Mycoplasma Pneumonia', 'Fair match'), ('Bronchitis', 'Fair match')]"
11,"['cough, nonproductive', 'abdominal bloating']","[('Coronavirus', 'Fair match'), ('Asthma (teen And Adult)', 'Fair match'), ('Emphysema', 'Fair match'), ('Mycoplasma Pneumonia', 'Fair match'), ('Bronchitis', 'Fair match')]"
12,"['cough, nonproductive', 'lower belly bloating']","[('Coronavirus', 'Fair match'), ('Asthma (teen And Adult)', 'Fair match'), ('Emphysema', 'Fair match'), ('Mycoplasma Pneumonia', 'Fair match'), ('Bronchitis', 'Fair match')]"
13,"['cough, nonproductive', 'lower abdominal bloating']","[('Coronavirus', 'Fair match'), ('Asthma (teen And Adult)', 'Fair match'), ('Emphysema', 'Fair match'), ('Mycoplasma Pneumonia', 'Fair match'), ('Bronchitis', 'Fair match')]"
14,"['cough, nonproductive', 'upper belly bloating']","[('Coronavirus', 'Fair match'), ('Asthma (teen And Adult)', 'Fair match'), ('Emphysema', 'Fair match'), ('Mycoplasma Pneumonia', 'Fair match'), ('Bronchitis', 'Fair match')]"
15,"['hacking cough', 'bloating']","[('Coronavirus', 'Fair match'), ('Asthma (teen And Adult)', 'Fair match'), ('Influenza (flu) Adults', 'Fair match'), ('Whooping Cough', 'Fair match'), ('Swine Influenza', 'Fair match')]"
16,"['hacking cough', 'abdominal bloating']","[('Coronavirus', 'Fair match'), ('Asthma (teen And Adult)', 'Fair match'), ('Influenza (flu) Adults', 'Fair match'), ('Whooping Cough', 'Fair match'), ('Swine Influenza', 'Fair match')]"
17,"['hacking cough', 'lower belly bloating']","[('Coronavirus', 'Fair match'), ('Asthma (teen And Adult)', 'Fair match'), ('Influenza (flu) Adults', 'Fair match'), ('Whooping Cough', 'Fair match'), ('Swine Influenza', 'Fair match')]"
