,Open
0,325.25
1,331.27
2,329.83
3,328.34
4,322.04
5,313.7
6,310.59
7,314.43
8,311.96
9,314.81
10,312.14
11,319.3
12,294.16
13,291.91
14,292.07
15,287.68
16,284.92
17,284.32
18,287.95
19,290.41
20,291.38
21,291.34
22,294.23
23,296.39
24,302.44
25,303.18
26,304.87
27,302.81
28,304.11
29,304.63
30,305.32
31,300.28
32,301.36
33,300.81
34,304.84
35,302.37
36,302.54
37,302.16
38,303.86
39,308.14
40,309.97
41,309.84
42,309.06
43,302.89
44,303.39
45,303.88
46,302.84
47,298.88
48,303.24
49,306.35
50,307.15
51,309.29
52,310.4
53,314.28
54,316.12
55,318.06
56,322.09
57,321.3
58,322.31
59,324.8
60,325.5
61,324.66
62,319.19
63,321.5
64,318.03
65,314.94
66,313.07
67,315.58
68,315.8
69,319.98
70,322.57
71,310.34
72,303.14
73,302.89
74,301.71
75,301.0
76,295.34
77,298.0
78,300.87
79,304.31
80,306.36
81,305.35
82,300.77
83,299.48
84,303.67
85,301.83
86,296.39
87,301.63
88,302.28
89,305.34
90,304.04
91,299.27
92,301.54
93,307.83
94,315.73
95,311.38
96,299.13
97,305.57
98,299.7
99,303.44
100,299.38
101,296.79
102,292.98
103,293.26
104,284.83
105,284.05
106,286.65
107,287.16
108,292.7
109,286.85
110,291.01
111,283.82
112,279.81
113,279.6
114,279.12
115,280.26
116,285.72
117,288.82
118,288.84
119,282.94
120,282.61
121,280.33
122,282.79
123,281.89
124,286.41
125,289.82
126,288.92
127,293.28
128,295.12
129,291.38
130,293.99
131,287.07
132,282.5
133,285.01
134,287.11
135,288.14
136,287.41
137,291.98
138,303.24
139,299.12
140,306.35
141,303.02
142,306.35
143,308.29
144,316.84
145,312.96
146,317.46
147,311.59
148,318.81
149,318.61
150,319.7
151,318.33
152,321.05
153,318.1
154,322.5
155,328.39
156,333.89
157,332.51
158,335.8
159,336.49
160,335.3
161,332.44
162,335.88
163,336.54
164,330.26
165,331.26
166,337.42
167,340.84
168,340.72
169,341.0
170,338.73
171,341.7
172,348.69
173,353.55
174,347.68
175,343.42
176,345.25
177,353.48
178,352.73
179,352.57
180,357.41
181,360.88
182,364.74
183,364.14
184,375.12
185,373.52
186,378.56
187,375.67
188,378.11
189,381.17
190,376.45
191,379.95
192,383.92
193,379.08
194,378.42
195,369.54
196,375.04
197,374.52
198,369.58
199,368.68
200,370.59
201,376.36
202,351.47
203,339.23
204,334.75
205,342.12
206,338.73
207,336.99
208,338.66
209,338.48
210,346.1
211,340.97
212,341.46
213,336.24
214,333.85
215,326.1
216,330.64
217,330.26
218,329.1
219,323.79
220,321.79
221,326.63
222,333.5
223,333.25
224,333.73
225,331.98
226,328.85
227,332.76
228,342.61
229,344.36
230,349.81
231,346.2
232,344.78
233,342.51
234,346.2
235,341.42
236,343.71
237,348.31
238,356.62
239,348.28
240,351.43
241,356.96
242,359.01
243,360.28
244,355.65
245,355.92
246,352.71
247,352.25
248,349.53
249,348.69
250,358.37
251,361.11
252,363.31
253,366.35
254,366.4
255,364.77
256,370.03
257,369.61
258,367.12
259,358.32
260,359.85
261,357.51
262,353.85
263,351.01
264,366.62
265,369.24
266,373.98
267,374.48
268,371.98
269,375.46
270,373.85
271,377.68
272,382.41
273,379.14
274,378.12
275,383.41
276,388.61
277,387.75
278,389.42
279,388.61
280,388.41
281,392.23
282,396.51
283,401.15
284,397.51
285,398.14
286,399.65
287,396.02
288,395.92
289,399.05
290,397.41
291,401.15
292,412.92
293,418.94
294,415.47
295,415.69
296,414.29
297,413.8
298,412.4
299,411.95
300,407.72
301,401.0
302,404.11
303,406.89
304,404.13
305,405.85
306,404.69
307,405.23
308,401.83
309,400.49
310,396.02
311,400.77
312,405.21
